Comuna,Codigo comuna,Poblacion,Casos Confirmados
Arica,15101,2475520,208940
Camarones,15102,12330,540
General Lagos,15202,8100,720
Putre,15201,25150,1640
Alto Hospicio,1107,1299990,115320
Camina,1402,13750,1370
Colchane,1403,15830,1340
Huara,1404,30000,3790
Iquique,1101,2234630,228920
Pica,1405,59580,8060
Pozo Almonte,1401,173950,19260
Antofagasta,2101,4257250,318690
Calama,2201,1903360,129610
Maria Elena,2302,68140,5590
Mejillones,2102,147760,16840
Ollague,2202,2870,320
San Pedro de Atacama,2203,104340,7650
Sierra Gorda,2103,17460,1280
Taltal,2104,136570,6810
Tocopilla,2301,280790,14880
Alto del Carmen,3302,57290,1690
Caldera,3102,194260,10350
Chanaral,3201,131640,5840
Copiapo,3101,1717660,97750
Diego de Almagro,3202,143580,8130
Freirina,3303,76810,4480
Huasco,3304,112640,5820
Tierra Amarilla,3103,143120,8750
Vallenar,3301,570090,30860
Andacollo,4103,117910,4280
Canela,4202,95460,3090
Combarbala,4302,138840,3990
Coquimbo,4102,2567350,107170
Illapel,4201,328010,13560
La Higuera,4104,44500,2220
La Serena,4101,2496560,106020
Los Vilos,4203,233740,11340
Monte Patria,4303,325270,12760
Ovalle,4301,1212690,62190
Paiguano,4105,46750,1810
Punitaqui,4304,121650,5540
Rio Hurtado,4305,43720,1240
Salamanca,4204,291100,9660
Vicuna,4106,297410,10700
Algarrobo,5602,151740,6790
Cabildo,5402,206630,10310
Calera,5502,535910,32810
Calle Larga,5302,164820,8030
Cartagena,5603,253570,11520
Casablanca,5102,291700,16090
Catemu,5702,152130,7850
Concon,5103,458890,24040
El Quisco,5604,177420,7040
El Tabo,5605,143380,7370
Hijuelas,5503,190990,8830
Isla de Pascua,5201,82770,120
Juan Fernandez,5104,10330,10
La Cruz,5504,253210,11640
La Ligua,5401,377390,21350
Limache,5802,499310,26620
Llaillay,5703,265330,12580
Los Andes,5301,680930,32100
Nogales,5506,234900,12640
Olmue,5803,192660,8490
Panquehue,5704,76330,3070
Papudo,5403,62010,3970
Petorca,5404,105580,4140
Puchuncavi,5105,200710,8640
Putaendo,5705,176450,6870
Quillota,5501,975720,56050
Quilpue,5801,1670850,89680
Quintero,5107,361350,17230
Rinconada,5303,112630,3640
San Antonio,5601,967610,50140
San Esteban,5304,206430,7650
San Felipe,5701,834940,37970
Santa Maria,5706,163670,6950
Santo Domingo,5606,119340,5330
Valparaiso,5101,3157320,235480
Villa Alemana,5804,1393100,77520
Vina del Mar,5109,3613710,216550
Zapallar,5405,79940,3880
Alhue,13502,74050,6030
Buin,13402,1096410,63290
Calera de Tango,13403,285250,14520
Cerrillos,13102,889560,56160
Cerro Navia,13103,1424650,118770
Colina,13301,1803530,90640
Conchali,13104,1391950,105440
Curacavi,13503,364300,23010
El Bosque,13105,1720000,133800
El Monte,13602,400140,24130
Estacion Central,13106,2067920,121740
Huechuraba,13107,1125280,68990
Independencia,13108,1420650,107180
Isla de Maipo,13603,401710,27090
La Cisterna,13109,1004340,67310
La Florida,13110,4024330,282070
La Granja,13111,1225570,117000
La Pintana,13112,1893350,177080
La Reina,13113,1002520,48390
Lampa,13302,1268980,68850
Las Condes,13114,3307590,135970
Lo Barnechea,13115,1240760,67180
Lo Espejo,13116,1038650,78370
Lo Prado,13117,1044030,91480
Macul,13118,1346350,94580
Maipu,13119,5786050,313340
Maria Pinto,13504,149260,9300
Melipilla,13501,1416120,81730
Nunoa,13120,2501920,119650
Padre Hurtado,13604,741880,49640
Paine,13404,827660,45230
Pedro Aguirre Cerda,13121,1078030,80240
Penaflor,13605,1010580,58000
Penalolen,13122,2667980,207500
Pirque,13202,304330,21790
Providencia,13123,1577490,69620
Pudahuel,13124,2531390,195230
Puente Alto,13201,6459090,479160
Quilicura,13125,2546940,156090
Quinta Normal,13126,1363680,109910
Recoleta,13127,1900750,138230
Renca,13128,1608470,163650
San Bernardo,13401,3348360,227530
San Joaquin,13129,1034850,89500
San Jose de Maipo,13203,186440,11910
San Miguel,13130,1330590,105520
San Pedro,13505,119530,5500
San Ramon,13131,865100,76620
Santiago,13101,5031470,299760
Talagante,13601,818380,36450
Tiltil,13303,214770,12040
Vitacura,13132,967740,36940
Chepica,6302,159250,7480
Chimbarongo,6303,376960,15000
Codegua,6102,140960,7210
Coinco,6103,78310,3650
Coltauco,6104,212630,11010
Donihue,6105,227000,13330
Graneros,6106,365040,20740
La Estrella,6202,31140,1470
Las Cabras,6107,267490,15640
Litueche,6203,67650,3420
Lolol,6304,72890,1910
Machali,6108,599130,25670
Malloa,6109,141630,7010
Marchihue,6204,76320,3520
Mostazal,6110,274620,10740
Nancagua,6305,191410,10270
Navidad,6205,69040,2490
Olivar,6111,146240,10560
Palmilla,6306,132990,6260
Paredones,6206,63490,2900
Peralillo,6307,118480,6060
Peumo,6112,149520,8710
Pichidegua,6113,207430,13940
Pichilemu,6201,178820,8280
Placilla,6308,91640,5220
Pumanque,6309,35310,1180
Quinta de Tilcoco,6114,138770,5590
Rancagua,6101,2652110,163680
Rengo,6115,637100,37920
Requinoa,6116,303710,14750
San Fernando,6301,786420,51880
San Vicente,6117,506170,31530
Santa Cruz,6310,410960,18650
Cauquenes,7201,441430,16160
Chanco,7202,93310,3880
Colbun,7402,225650,13990
