Region,Codigo region,Codigo comuna
Arica y Parinacota,15,15101
Arica y Parinacota,15,15102
Arica y Parinacota,15,15202
Arica y Parinacota,15,15201
Tarapacá,1,1107
Tarapacá,1,1402
Tarapacá,1,1403
Tarapacá,1,1404
Tarapacá,1,1101
Tarapacá,1,1405
Tarapacá,1,1401
Antofagasta,2,2101
Antofagasta,2,2201
Antofagasta,2,2302
Antofagasta,2,2102
Antofagasta,2,2202
Antofagasta,2,2203
Antofagasta,2,2103
Antofagasta,2,2104
Antofagasta,2,2301
Atacama,3,3302
Atacama,3,3102
Atacama,3,3201
Atacama,3,3101
Atacama,3,3202
Atacama,3,3303
Atacama,3,3304
Atacama,3,3103
Atacama,3,3301
Coquimbo,4,4103
Coquimbo,4,4202
Coquimbo,4,4302
Coquimbo,4,4102
Coquimbo,4,4201
Coquimbo,4,4104
Coquimbo,4,4101
Coquimbo,4,4203
Coquimbo,4,4303
Coquimbo,4,4301
Coquimbo,4,4105
Coquimbo,4,4304
Coquimbo,4,4305
Coquimbo,4,4204
Coquimbo,4,4106
Valparaíso,5,5602
Valparaíso,5,5402
Valparaíso,5,5502
Valparaíso,5,5302
Valparaíso,5,5603
Valparaíso,5,5102
Valparaíso,5,5702
Valparaíso,5,5103
Valparaíso,5,5604
Valparaíso,5,5605
Valparaíso,5,5503
Valparaíso,5,5201
Valparaíso,5,5104
Valparaíso,5,5504
Valparaíso,5,5401
Valparaíso,5,5802
Valparaíso,5,5703
Valparaíso,5,5301
Valparaíso,5,5506
Valparaíso,5,5803
Valparaíso,5,5704
Valparaíso,5,5403
Valparaíso,5,5404
Valparaíso,5,5105
Valparaíso,5,5705
Valparaíso,5,5501
Valparaíso,5,5801
Valparaíso,5,5107
Valparaíso,5,5303
Valparaíso,5,5601
Valparaíso,5,5304
Valparaíso,5,5701
Valparaíso,5,5706
Valparaíso,5,5606
Valparaíso,5,5101
Valparaíso,5,5804
Valparaíso,5,5109
Valparaíso,5,5405
Metropolitana,13,13502
Metropolitana,13,13402
Metropolitana,13,13403
Metropolitana,13,13102
Metropolitana,13,13103
Metropolitana,13,13301
Metropolitana,13,13104
Metropolitana,13,13503
Metropolitana,13,13105
Metropolitana,13,13602
Metropolitana,13,13106
Metropolitana,13,13107
Metropolitana,13,13108
Metropolitana,13,13603
Metropolitana,13,13109
Metropolitana,13,13110
Metropolitana,13,13111
Metropolitana,13,13112
Metropolitana,13,13113
Metropolitana,13,13302
Metropolitana,13,13114
Metropolitana,13,13115
Metropolitana,13,13116
Metropolitana,13,13117
Metropolitana,13,13118
Metropolitana,13,13119
Metropolitana,13,13504
Metropolitana,13,13501
Metropolitana,13,13120
Metropolitana,13,13604
Metropolitana,13,13404
Metropolitana,13,13121
Metropolitana,13,13605
Metropolitana,13,13122
Metropolitana,13,13202
Metropolitana,13,13123
Metropolitana,13,13124
Metropolitana,13,13201
Metropolitana,13,13125
Metropolitana,13,13126
Metropolitana,13,13127
